Año;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50 y más;Sin información
 2.000 ; - ; - ; 25 ; 85 ; 1.002 ; 2.866 ; 6.103 ; 10.486 ; 14.909 ; 16.738 ; 20.064 ; 17.308 ; 18.163 ; 17.116 ; 15.923 ; 15.062 ; 14.110 ; 13.066 ; 13.037 ; 11.904 ; 12.307 ; 8.545 ; 9.113 ; 7.738 ; 6.861 ; 6.549 ; 5.694 ; 4.735 ; 4.360 ; 3.594 ; 3.142 ; 1.726 ; 1.592 ; 1.169 ; 715 ; 587 ; 327 ; 195 ; 147 ; 250 ; - ; 8.836 
 2.001 ; - ; - ; 27 ; 150 ; 817 ; 2.742 ; 6.174 ; 9.788 ; 13.733 ; 15.610 ; 18.365 ; 17.472 ; 17.172 ; 16.508 ; 14.898 ; 14.072 ; 13.251 ; 12.217 ; 12.101 ; 10.495 ; 11.388 ; 8.870 ; 8.431 ; 7.329 ; 6.461 ; 5.996 ; 5.450 ; 4.440 ; 4.228 ; 3.123 ; 2.946 ; 1.921 ; 1.600 ; 1.028 ; 670 ; 522 ; 302 ; 148 ; 115 ; 187 ; - ; 7.423 
 2.002 ; - ; - ; 26 ; 165 ; 949 ; 2.872 ; 6.276 ; 10.529 ; 13.673 ; 15.674 ; 18.102 ; 17.076 ; 17.705 ; 16.398 ; 15.010 ; 13.809 ; 12.770 ; 12.283 ; 11.911 ; 10.251 ; 10.435 ; 8.239 ; 8.989 ; 6.982 ; 6.270 ; 5.707 ; 5.187 ; 4.523 ; 4.113 ; 3.182 ; 2.788 ; 1.858 ; 1.750 ; 969 ; 601 ; 459 ; 237 ; 163 ; 125 ; 238 ; - ; 7.006 
 2.003 ; - ; - ; 45 ; 159 ; 925 ; 2.818 ; 5.976 ; 10.269 ; 13.838 ; 14.727 ; 16.571 ; 15.996 ; 16.544 ; 16.283 ; 14.115 ; 13.422 ; 12.018 ; 11.419 ; 10.967 ; 9.603 ; 9.878 ; 7.372 ; 8.252 ; 7.304 ; 5.789 ; 5.297 ; 4.754 ; 4.327 ; 3.983 ; 3.060 ; 2.666 ; 1.616 ; 1.511 ; 1.123 ; 586 ; 432 ; 253 ; 161 ; 133 ; 214 ; - ; 7.598 
 2.004 ; - ; - ; 49 ; 157 ; 908 ; 2.718 ; 5.828 ; 9.825 ; 13.055 ; 14.874 ; 15.855 ; 14.827 ; 15.394 ; 15.531 ; 15.075 ; 12.798 ; 11.944 ; 11.229 ; 10.714 ; 9.505 ; 9.641 ; 7.171 ; 7.428 ; 6.755 ; 6.075 ; 5.029 ; 4.520 ; 3.935 ; 3.687 ; 3.067 ; 2.725 ; 1.551 ; 1.415 ; 986 ; 732 ; 420 ; 245 ; 146 ; 100 ; 145 ; - ; 8.303 
 2.005 ; - ; - ; 44 ; 166 ; 833 ; 2.758 ; 5.775 ; 10.000 ; 13.166 ; 14.691 ; 16.665 ; 14.532 ; 14.781 ; 14.854 ; 14.470 ; 13.812 ; 12.004 ; 11.351 ; 10.952 ; 9.589 ; 9.521 ; 7.215 ; 7.316 ; 6.565 ; 5.974 ; 5.537 ; 4.491 ; 3.878 ; 3.626 ; 3.019 ; 2.495 ; 1.559 ; 1.430 ; 951 ; 651 ; 494 ; 224 ; 135 ; 112 ; 188 ; - ; 6.901 
 2.006 ; - ; - ; 87 ; 215 ; 1.054 ; 3.233 ; 6.772 ; 11.087 ; 14.620 ; 16.122 ; 17.976 ; 16.966 ; 16.159 ; 16.460 ; 15.401 ; 14.561 ; 14.326 ; 12.439 ; 11.948 ; 10.804 ; 10.754 ; 7.994 ; 8.215 ; 7.180 ; 6.197 ; 5.795 ; 5.261 ; 4.098 ; 3.825 ; 3.028 ; 2.593 ; 1.593 ; 1.473 ; 965 ; 571 ; 473 ; 292 ; 141 ; 103 ; 223 ; - ; 7.587 
 2.007 ; - ; 7 ; 76 ; 285 ; 1.202 ; 3.598 ; 7.325 ; 11.898 ; 14.922 ; 16.910 ; 18.419 ; 16.750 ; 17.456 ; 15.969 ; 15.553 ; 14.359 ; 14.043 ; 13.396 ; 12.394 ; 10.913 ; 10.892 ; 8.097 ; 8.277 ; 7.078 ; 6.248 ; 5.628 ; 5.166 ; 4.495 ; 3.672 ; 3.163 ; 2.580 ; 1.637 ; 1.460 ; 931 ; 575 ; 389 ; 219 ; 143 ; 111 ; 225 ; - ; 7.523 
 2.008 ; - ; 12 ; 57 ; 294 ; 1.396 ; 4.207 ; 7.961 ; 12.531 ; 15.536 ; 17.181 ; 18.696 ; 16.897 ; 17.367 ; 16.966 ; 15.344 ; 14.505 ; 13.427 ; 13.235 ; 13.512 ; 11.478 ; 11.226 ; 8.626 ; 8.674 ; 7.506 ; 6.559 ; 5.792 ; 4.985 ; 4.423 ; 4.134 ; 2.953 ; 2.622 ; 1.602 ; 1.422 ; 946 ; 614 ; 399 ; 190 ; 138 ; 128 ; 154 ; - ; 7.360 
 2.009 ; - ; 8 ; 72 ; 348 ; 1.655 ; 4.526 ; 8.994 ; 13.077 ; 16.494 ; 17.532 ; 18.448 ; 17.221 ; 17.624 ; 16.991 ; 16.569 ; 14.414 ; 13.703 ; 13.325 ; 13.461 ; 12.662 ; 11.864 ; 9.132 ; 9.136 ; 7.541 ; 6.678 ; 6.137 ; 5.017 ; 4.387 ; 4.198 ; 3.395 ; 2.635 ; 1.578 ; 1.399 ; 901 ; 599 ; 366 ; 196 ; 116 ; 82 ; 141 ; - ; 5.715 
